"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"2","0.000000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"3","0.000000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=537 Win=65392 Len=0"
"4","0.000000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=537 Win=65392 Len=0"
"5","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"6","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"7","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"8","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"9","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"10","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"11","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"12","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"13","0.004000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=1073 Win=65392 Len=0"
"14","0.004000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=1073 Win=65392 Len=0"
"15","0.004000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=1609 Win=65392 Len=0"
"16","0.004000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=1609 Win=65392 Len=0"
"17","0.004000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=2145 Win=65392 Len=0"
"18","0.004000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=2145 Win=65392 Len=0"
"19","0.004000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=2681 Win=65392 Len=0"
"20","0.004000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=2681 Win=65392 Len=0"
"21","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"22","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"23","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"24","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"25","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"26","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"27","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"28","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"29","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"30","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"31","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"32","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"33","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"34","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"35","0.004000","49.44.80.47","116.50.76.245","TCP","590","[TCP segment of a reassembled PDU]"
"36","0.004000","49.44.80.47","10.64.43.166","TCP","590","[TCP segment of a reassembled PDU]"
"37","0.008000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=3217 Win=65392 Len=0"
"38","0.008000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=3217 Win=65392 Len=0"
"39","0.008000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=3753 Win=65392 Len=0"
"40","0.008000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=3753 Win=65392 Len=0"
"41","0.008000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=4825 Win=65392 Len=0"
"42","0.008000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=4825 Win=65392 Len=0"
"43","0.008000","10.64.43.166","49.44.80.47","TCP","60","[TCP Dup ACK 41#1] 64435  >  443 [ACK] Seq=1 Ack=4825 Win=65392 Len=0"
"44","0.008000","116.50.76.245","49.44.80.47","TCP","60","[TCP Dup ACK 42#1] 64435  >  443 [ACK] Seq=1 Ack=4825 Win=65392 Len=0"
"45","0.008000","10.64.43.166","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=5361 Win=65392 Len=0"
"46","0.008000","116.50.76.245","49.44.80.47","TCP","60","64435  >  443 [ACK] Seq=1 Ack=5361 Win=65392 Len=0"
"47","0.008000","10.64.43.166","49.44.80.47","TCP","60","[TCP ACKed unseen segment] 64435  >  443 [ACK] Seq=1 Ack=8577 Win=65392 Len=0"
"48","0.008000","116.50.76.245","49.44.80.47","TCP","60","[TCP ACKed unseen segment] 64435  >  443 [ACK] Seq=1 Ack=8577 Win=65392 Len=0"
